,train,train,test,test
,Missing Values,% of Total Values,Missing Values,% of Total Values
abdom_protein,198,66.0,37,54.411764705882355
abdomen,118,39.333333333333336,25,36.76470588235294
abdominal_dist,56,18.666666666666668,9,13.235294117647058
abdomino_appearance,165,55.0,29,42.64705882352941
age,0,0.0,0,0.0
capillary_time,32,10.666666666666666,6,8.823529411764707
cell_vol,29,9.666666666666666,8,11.764705882352942
extreme_temp,56,18.666666666666668,9,13.235294117647058
feces,102,34.0,26,38.23529411764706
mucous,47,15.666666666666666,1,1.4705882352941178
nasogastric_PH,247,82.33333333333333,52,76.47058823529412
nasogastric_reflux,106,35.333333333333336,27,39.705882352941174
nasogastric_tube,104,34.666666666666664,27,39.705882352941174
pain,55,18.333333333333332,8,11.764705882352942
peripheral_pulse,69,23.0,14,20.58823529411765
peristalsis,44,14.666666666666666,8,11.764705882352942
protein,33,11.0,10,14.705882352941176
pulse,24,8.0,2,2.9411764705882355
rectal_temp,60,20.0,9,13.235294117647058
respiration,58,19.333333333333332,13,19.11764705882353
surgical_lesion,0,0.0,0,0.0
